PRODUCT,DATE,SUMMARY,SENTIMENT_SCORE
Thermal Gloves,2023-01-26,"Terrible quality Thermal Gloves, stitching came apart immediately.",-0.82143141
Thermal Gloves,2024-11-23,"The Thermal Gloves stopped working properly, poor insulation.",-0.93044893
Fleece Base Layer,2023-02-02,"Great quality Fleece Base Layer, worth every peso.",0.46286263
Alpine Skis,2024-07-28,"Best Alpine Skis I've used on the slopes, highly recommend.",0.59366387
Trekking Poles,2024-08-26,"Absolutely love the Trekking Poles, kept me warm the whole trip.",0.83116516
Insulated Jacket,2024-03-08,"Great quality Insulated Jacket, worth every peso.",0.45071963
Ski Goggles,2023-04-15,"Absolutely love the Ski Goggles, kept me warm the whole trip.",0.55128557
Ski Goggles,2024-09-10,"Absolutely love the Ski Goggles, kept me warm the whole trip.",0.81081225
Thermal Gloves,2024-01-23,"The Thermal Gloves exceeded my expectations, very durable.",0.88058326
Ski Goggles,2024-08-14,"Absolutely love the Ski Goggles, kept me warm the whole trip.",0.33207707
Mountain Series Helmet,2023-10-24,"Terrible quality Mountain Series Helmet, stitching came apart immediately.",-0.30681307
Fleece Base Layer,2023-10-12,"Average Fleece Base Layer, works fine for casual use.",-0.11867295
Ski Goggles,2023-08-03,"Not worth the price, the Ski Goggles feels cheaply made.",-0.25067633
Thermal Gloves,2024-09-15,"The Thermal Gloves arrived as described, no complaints.",0.1645634
Insulated Jacket,2024-04-18,"Best Insulated Jacket I've used on the slopes, highly recommend.",0.45373062
Ski Goggles,2023-02-27,"Absolutely love the Ski Goggles, kept me warm the whole trip.",0.86353206
Fleece Base Layer,2023-10-02,"Best Fleece Base Layer I've used on the slopes, highly recommend.",0.91345734
Ski Goggles,2023-08-06,Delivery for the Ski Goggles was delayed by two weeks.,-0.29225348
Trekking Poles,2023-05-27,"Great quality Trekking Poles, worth every peso.",0.82149229
Snowboard Boots,2024-08-21,"Best Snowboard Boots I've used on the slopes, highly recommend.",0.57958035
Mountain Series Helmet,2023-05-22,"The Mountain Series Helmet is okay, does the job but nothing special.",0.17789108
Thermal Gloves,2023-06-06,"The Thermal Gloves arrived as described, no complaints.",0.01107998
Thermal Gloves,2024-01-30,Fast shipping and the Thermal Gloves fits perfectly.,0.67038004
Alpine Skis,2024-11-27,"Not worth the price, the Alpine Skis feels cheaply made.",-0.29216924
Snowboard Boots,2024-10-18,"The Snowboard Boots exceeded my expectations, very durable.",0.60433568
Trekking Poles,2023-01-04,"Not worth the price, the Trekking Poles feels cheaply made.",-0.78928876
Insulated Jacket,2024-06-03,"Not worth the price, the Insulated Jacket feels cheaply made.",-0.76124417
